candidate,vertex,w_R,w_P,w_U,acceptability
48,4,0.115986361121,0.103598035367,0.780415603512,0.0290234726097
48,5,0,0.169720233085,0.830279766915,0.0290234726097
198,0,0.700009834874,0,0.299990165126,4.45000145847e-05
198,1,0.704255389836,0,0.295744610164,4.45000145847e-05
198,2,0.700109305394,0.0104815542318,0.289409140374,4.45000145847e-05
215,0,0.682173213452,0.055234271294,0.262592515254,2.03847351548e-05
215,1,0.683870298592,0.0459025573122,0.270227144096,2.03847351548e-05
215,2,0.686139972108,0.0453843667275,0.268475661165,2.03847351548e-05
215,3,0.683020481804,0.0531516369546,0.263827881242,2.03847351548e-05
216,0,0.692531470477,0,0.307468529523,0.000806001048878
216,1,0.700009834874,0,0.299990165126,0.000806001048878
216,2,0.700109305394,0.0104815542318,0.289409140374,0.000806001048878
216,3,0.699460236309,0.0121418464426,0.288397917249,0.000806001048878
216,4,0.691141498429,0.0330019674914,0.275856534079,0.000806001048878
216,5,0.686139972108,0.0453843667275,0.268475661165,0.000806001048878
216,6,0.683870298592,0.0459025573122,0.270227144096,0.000806001048878
216,7,0.683493080417,0.0345146544395,0.281992265144,0.000806001048878
216,8,0.689495929952,0.000616418917677,0.30988765113,0.000806001048878
217,0,0.689479096341,0,0.310520903659,1.8815411616e-06
217,1,0.692531470477,0,0.307468529523,1.8815411616e-06
217,2,0.689495929952,0.000616418917677,0.30988765113,1.8815411616e-06
232,0,0.666190711148,0.0942899380031,0.239519350849,6.07313174223e-05
232,1,0.668758419937,0.0790028618991,0.252238718164,6.07313174223e-05
232,2,0.672880190949,0.0780227048273,0.249097104224,6.07313174223e-05
232,3,0.667656245009,0.0907617215295,0.241582033462,6.07313174223e-05
233,0,0.683493080417,0.0345146544395,0.281992265144,0.000845921094283
233,1,0.683870298592,0.0459025573122,0.270227144096,0.000845921094283
233,2,0.682173213452,0.055234271294,0.262592515254,0.000845921094283
233,3,0.679714393068,0.0613177471175,0.258967859815,0.000845921094283
233,4,0.675417817035,0.0718696596627,0.252712523303,0.000845921094283
233,5,0.672880190949,0.0780227048273,0.249097104224,0.000845921094283
233,6,0.668758419937,0.0790028618991,0.252238718164,0.000845921094283
233,7,0.668164547158,0.0686682511096,0.263167201732,0.000845921094283
233,8,0.673382622397,0.0366786020416,0.289938775562,0.000845921094283
234,0,0.676666119336,0,0.323333880664,0.000872374612592
234,1,0.689479096341,0,0.310520903659,0.000872374612592
234,2,0.689495929952,0.000616418917678,0.30988765113,0.000872374612592
234,3,0.683493080417,0.0345146544395,0.281992265144,0.000872374612592
234,4,0.673382622397,0.0366786020416,0.289938775562,0.000872374612592
234,5,0.672764024751,0.0246649494684,0.302571025781,0.000872374612592
249,0,0.65192787361,0.12852200801,0.219550118379,9.3371037e-05
249,1,0.65470967602,0.110436911442,0.234853412538,9.3371037e-05
249,2,0.660064438226,0.109115723903,0.23081983787,9.3371037e-05
249,3,0.652864926473,0.126312256495,0.220822817032,9.3371037e-05
250,0,0.668164547158,0.0686682511096,0.263167201732,0.00081193320835
250,1,0.668758419937,0.0790028618991,0.252238718164,0.00081193320835
250,2,0.666190711148,0.0942899380031,0.239519350849,0.00081193320835
250,3,0.661036083511,0.106785538124,0.232178378365,0.00081193320835
250,4,0.66029745906,0.108562288428,0.231140252512,0.00081193320835
250,5,0.660064438226,0.109115723903,0.23081983787,0.00081193320835
250,6,0.65470967602,0.110436911442,0.234853412538,0.00081193320835
250,7,0.653935891214,0.101062811845,0.245001296941,0.00081193320835
250,8,0.658434357638,0.0708508898142,0.270714752548,0.00081193320835
251,0,0.672764024751,0.0246649494684,0.302571025781,0.00102997318607
251,1,0.673382622397,0.0366786020416,0.289938775562,0.00102997318607
251,2,0.668164547158,0.0686682511096,0.263167201732,0.00102997318607
251,3,0.658434357638,0.0708508898142,0.270714752548,0.00102997318607
251,4,0.657602960643,0.0599698089537,0.282427230404,0.00102997318607
251,5,0.662386295952,0.0267314614627,0.310882242586,0.00102997318607
252,0,0.663444295915,0,0.336555704085,0.000638587868516
252,1,0.676666119336,0,0.323333880664,0.000638587868516
252,2,0.672764024751,0.0246649494684,0.302571025781,0.000638587868516
252,3,0.662386295952,0.0267314614627,0.310882242586,0.000638587868516
252,4,0.661495430586,0.0140352030679,0.324469366347,0.000638587868516
267,0,0.639069833682,0.158887764416,0.202042401901,0.000107292599112
267,1,0.641660547519,0.140304064555,0.218035387926,0.000107292599112
267,2,0.647606505568,0.138786960207,0.213606534225,0.000107292599112
267,3,0.645638604593,0.14348836804,0.210873027367,0.000107292599112
267,4,0.64407586109,0.147174355216,0.208749783694,0.000107292599112
268,0,0.653935891214,0.101062811845,0.245001296941,0.00075210017662
268,1,0.65470967602,0.110436911442,0.234853412538,0.00075210017662
268,2,0.65192787361,0.12852200801,0.219550118379,0.00075210017662
268,3,0.647606505568,0.138786960207,0.213606534225,0.00075210017662
268,4,0.641660547519,0.140304064555,0.218035387926,0.00075210017662
268,5,0.640739371603,0.131806396104,0.227454232293,0.00075210017662
268,6,0.644577420449,0.103252516059,0.252170063492,0.00075210017662
269,0,0.657602960643,0.0599698089537,0.282427230404,0.0009265980425
269,1,0.658434357638,0.0708508898142,0.270714752548,0.0009265980425
269,2,0.653935891214,0.101062811845,0.245001296941,0.0009265980425
269,3,0.644577420449,0.103252516059,0.252170063492,0.0009265980425
269,4,0.643571683036,0.0934014932082,0.263026823756,0.0009265980425
269,5,0.647624753945,0.0620679993637,0.290307246691,0.0009265980425
270,0,0.661495430586,0.0140352030679,0.324469366347,0.00111320003854
270,1,0.662386295952,0.0267314614627,0.310882242586,0.00111320003854
270,2,0.657602960643,0.0599698089537,0.282427230404,0.00111320003854
270,3,0.647624753945,0.0620679993637,0.290307246691,0.00111320003854
270,4,0.646526810725,0.0505927477989,0.302880441476,0.00111320003854
270,5,0.650824733445,0.0159939968199,0.333181269736,0.00111320003854
271,0,0.649929736824,0,0.350070263176,0.000369238529999
271,1,0.663444295915,0,0.336555704085,0.000369238529999
271,2,0.661495430586,0.0140352030679,0.324469366347,0.000369238529999
271,3,0.650824733445,0.0159939968199,0.333181269736,0.000369238529999
271,4,0.649626137203,0.00255081127665,0.347823051521,0.000369238529999
284,0,0.630581268701,0.178695376427,0.190723354871,8.39524125771e-05
284,1,0.628327888277,0.178515232251,0.193156879472,8.39524125771e-05
284,2,0.629552638128,0.168695905513,0.201751456359,8.39524125771e-05
284,3,0.635538943046,0.167120955499,0.197340101455,8.39524125771e-05
284,4,0.631673583346,0.176170456496,0.192155960158,8.39524125771e-05
285,0,0.640739371603,0.131806396104,0.227454232293,0.000684582167236
285,1,0.641660547519,0.140304064555,0.218035387926,0.000684582167236
285,2,0.639069833682,0.158887764416,0.202042401901,0.000684582167236
285,3,0.638606177941,0.159980873797,0.201412948263,0.000684582167236
285,4,0.635538943046,0.167120955499,0.197340101455,0.000684582167236
285,5,0.629552638128,0.168695905513,0.201751456359,0.000684582167236
285,6,0.628512857272,0.160998365109,0.210488777619,0.000684582167236
285,7,0.631744342941,0.133992871046,0.234262786013,0.000684582167236
286,0,0.643571683036,0.0934014932082,0.263026823756,0.000834009538817
286,1,0.644577420449,0.103252516059,0.252170063492,0.000834009538817
286,2,0.640739371603,0.131806396104,0.227454232293,0.000834009538817
286,3,0.631744342941,0.133992871046,0.234262786013,0.000834009538817
286,4,0.630598130128,0.125079321339,0.244322548533,0.000834009538817
286,5,0.633983580768,0.0955179138219,0.27049850541,0.000834009538817
287,0,0.646526810725,0.0505927477989,0.302880441476,0.000998492083914
287,1,0.647624753945,0.0620679993637,0.290307246691,0.000998492083914
287,2,0.643571683036,0.0934014932082,0.263026823756,0.000998492083914
287,3,0.633983580768,0.0955179138219,0.27049850541,0.000998492083914
287,4,0.632718763144,0.0851500004356,0.282131236421,0.000998492083914
287,5,0.636277153282,0.0525980944922,0.311124752226,0.000998492083914
288,0,0.649626137203,0.00255081127665,0.347823051521,0.00120698843315
288,1,0.650824733445,0.0159939968199,0.333181269736,0.00120698843315
288,2,0.646526810725,0.0505927477989,0.302880441476,0.00120698843315
288,3,0.636277153282,0.0525980944922,0.311124752226,0.00120698843315
288,4,0.634879512503,0.040474936483,0.324645551014,0.00120698843315
288,5,0.638633591514,0.00438988192912,0.356976526556,0.00120698843315
289,0,0.638157395586,0,0.361842604414,7.91607564088e-05
289,1,0.649929736824,0,0.350070263176,7.91607564088e-05
289,2,0.649626137203,0.00255081127665,0.347823051521,7.91607564088e-05
289,3,0.638633591514,0.00438988192912,0.356976526556,7.91607564088e-05
302,0,0.628512857272,0.160998365109,0.210488777619,0.000319410852904
302,1,0.629552638128,0.168695905513,0.201751456359,0.000319410852904
302,2,0.628327888277,0.178515232251,0.193156879472,0.000319410852904
302,3,0.623674909294,0.17826304385,0.198062046856,0.000319410852904
302,4,0.618325822258,0.177962971718,0.203711206024,0.000319410852904
302,5,0.619873289282,0.163172480835,0.216954229883,0.000319410852904
303,0,0.630598130128,0.125079321339,0.244322548533,0.000750953314212
303,1,0.631744342941,0.133992871046,0.234262786013,0.000750953314212
303,2,0.628512857272,0.160998365109,0.210488777619,0.000750953314212
303,3,0.619873289282,0.163172480835,0.216954229883,0.000750953314212
303,4,0.618616421827,0.155112657608,0.226270920565,0.000750953314212
303,5,0.621391030034,0.127202093809,0.251406876157,0.000750953314212
304,0,0.632718763144,0.0851500004356,0.282131236421,0.000896127831642
304,1,0.633983580768,0.0955179138219,0.27049850541,0.000896127831642
304,2,0.630598130128,0.125079321339,0.244322548533,0.000896127831642
304,3,0.621391030034,0.127202093809,0.251406876157,0.000896127831642
304,4,0.61999453946,0.117839230846,0.262166229694,0.000896127831642
304,5,0.6228796951,0.0871863192877,0.289933985613,0.000896127831642
305,0,0.634879512503,0.040474936483,0.324645551014,0.00107918573845
