beta,eta,N,R,P,U
0.234,3.13,7,0.7292317807,0.1463899134,0.8040366044
0.235,3.13,7,0.7292229885,0.1466968888,0.8039929998
0.236,3.13,7,0.7292175476,0.1470079261,0.803956375
0.237,3.13,7,0.7292154949,0.1473230627,0.803926835
0.238,3.13,7,0.7292168672,0.1476423361,0.8039044848
0.239,3.13,7,0.7292217014,0.1479657836,0.8038894294
0.24,3.13,7,0.7292300343,0.1482934428,0.8038817739
0.231,3.14,7,0.7292966587,0.1449926056,0.8037329552
0.232,3.14,7,0.7292781317,0.1452876065,0.8036719116
0.233,3.14,7,0.7292628493,0.1455865561,0.8036175459
0.234,3.14,7,0.7292508483,0.1458894917,0.8035699632
0.235,3.14,7,0.7292421656,0.1461964508,0.8035292686
0.236,3.14,7,0.7292368378,0.1465074709,0.803495567
0.237,3.14,7,0.729234902,0.1468225894,0.8034689635
0.238,3.14,7,0.7292363949,0.1471418437,0.8034495632
0.239,3.14,7,0.7292413534,0.1474652712,0.8034374711
0.24,3.14,7,0.7292498143,0.1477929093,0.8034327922
0.23,3.15,7,0.7293412183,0.1442058572,0.8033391165
0.231,3.15,7,0.7293195734,0.144496934,0.8032743275
0.232,3.15,7,0.7293011399,0.144791921,0.8032161248
0.233,3.15,7,0.7292859546,0.1450908558,0.8031646133
0.234,3.15,7,0.7292740545,0.1453937756,0.8031198982
0.235,3.15,7,0.7292654763,0.145700718,0.8030820845
0.236,3.15,7,0.7292602569,0.1460117204,0.8030512772
0.237,3.15,7,0.7292584331,0.1463268202,0.8030275813
0.238,3.15,7,0.7292600418,0.1466460549,0.8030111019
0.239,3.15,7,0.7292651197,0.1469694619,0.803001944
0.24,3.15,7,0.7292737039,0.1472970786,0.8030002127
0.229,3.16,7,0.7293928512,0.1434276789,0.8029626188
0.23,3.16,7,0.7293681128,0.1437148704,0.8028941338
0.231,3.16,7,0.7293465527,0.1440059337,0.8028321434
0.232,3.16,7,0.7293282078,0.1443009064,0.8027767526
0.233,3.16,7,0.7293131148,0.1445998258,0.8027280664
0.234,3.16,7,0.7293013107,0.1449027294,0.8026861899
0.235,3.16,7,0.7292928323,0.1452096546,0.8026512281
0.236,3.16,7,0.7292877163,0.1455206388,0.8026232861
0.237,3.16,7,0.7292859997,0.1458357195,0.8026024688
0.238,3.16,7,0.7292877193,0.1461549342,0.8025888814
0.239,3.16,7,0.7292929119,0.1464783201,0.8025826288
0.229,3.17,7,0.7294236505,0.142941341,0.802531133
0.23,3.17,7,0.7293989884,0.1432285196,0.8024654044
0.231,3.17,7,0.7293775083,0.143519569,0.8024061836
0.232,3.17,7,0.7293592471,0.1438145269,0.8023535757
0.233,3.17,7,0.7293442416,0.1441134305,0.8023076858
0.234,3.17,7,0.7293325287,0.1444163174,0.802268619
0.235,3.17,7,0.7293241451,0.1447232249,0.8022364802
0.236,3.17,7,0.7293191278,0.1450341905,0.8022113744
0.237,3.17,7,0.7293175136,0.1453492516,0.8021934068
0.238,3.17,7,0.7293193392,0.1456684457,0.8021826824
0.239,3.17,7,0.7293246416,0.1459918102,0.8021793061
0.228,3.18,7,0.729486087,0.1421762715,0.8021851277
0.229,3.18,7,0.7294583474,0.142459604,0.8021157102
0.23,3.18,7,0.7294337567,0.1427467692,0.8020527088
0.231,3.18,7,0.7294123518,0.1430378043,0.8019962286
0.232,3.18,7,0.7293941695,0.1433327468,0.8019463748
0.233,3.18,7,0.7293792466,0.1436316342,0.8019032522
0.234,3.18,7,0.72936762,0.1439345038,0.801866966
0.235,3.18,7,0.7293593265,0.1442413932,0.8018376212
0.236,3.18,7,0.729354403,0.1445523397,0.8018153228
0.237,3.18,7,0.7293528862,0.1448673808,0.8018001758
0.238,3.18,7,0.7293548131,0.1451865539,0.8017922854
0.239,3.18,7,0.7293602204,0.1455098964,0.8017917565
0.227,3.19,7,0.7295553227,0.1414195871,0.8018559204
0.228,3.19,7,0.7295245302,0.1416991126,0.8017828633
0.229,3.19,7,0.7294968534,0.1419824322,0.8017161307
0.23,3.19,7,0.7294723293,0.1422695835,0.8016558277
0.231,3.19,7,0.7294509947,0.1425606038,0.8016020592
0.232,3.19,7,0.7294328864,0.1428555305,0.8015549304
0.233,3.19,7,0.7294180413,0.1431544011,0.8015145462
0.234,3.19,7,0.7294064962,0.1434572531,0.8014810116
0.235,3.19,7,0.7293982879,0.1437641238,0.8014544318
0.236,3.19,7,0.7293934533,0.1440750507,0.8014349118
0.237,3.19,7,0.7293920292,0.1443900713,0.8014225566
0.238,3.19,7,0.7293940525,0.1447092229,0.8014174712
0.226,3.2,7,0.7296312581,0.1406712134,0.8015433135
0.227,3.2,7,0.7295974372,0.1409469707,0.8014666663
0.228,3.2,7,0.7295666989,0.1412264837,0.801396252
0.229,3.2,7,0.7295390802,0.1415097899,0.8013321754
0.23,3.2,7,0.7295146179,0.1417969268,0.8012745417
0.231,3.2,7,0.7294933487,0.1420879317,0.801223456
0.232,3.2,7,0.7294753097,0.1423828422,0.8011790232
0.233,3.2,7,0.7294605375,0.1426816957,0.8011413483
0.234,3.2,7,0.729449069,0.1429845295,0.8011105365
0.235,3.2,7,0.7294409411,0.1432913811,0.8010866928
0.236,3.2,7,0.7294361905,0.143602288,0.8010699221
0.237,3.2,7,0.7294348543,0.1439172875,0.8010603296
0.238,3.2,7,0.729436969,0.1442364172,0.8010580203
0.225,3.21,7,0.7297137937,0.1399310759,0.8012471096
0.226,3.21,7,0.7296769689,0.1402031037,0.8011669217
0.227,3.21,7,0.7296431937,0.1404788489,0.801092875
0.228,3.21,7,0.7296125049,0.140758349,0.8010250743
0.229,3.21,7,0.7295849394,0.1410416413,0.8009636248
0.23,3.21,7,0.7295605339,0.1413287634,0.8009086315
0.231,3.21,7,0.7295393254,0.1416197526,0.8008601995
0.232,3.21,7,0.7295213507,0.1419146463,0.8008184337
0.233,3.21,7,0.7295066466,0.1422134821,0.8007834393
0.234,3.21,7,0.7294952499,0.1425162973,0.8007553212
0.235,3.21,7,0.7294871975,0.1428231293,0.8007341846
0.236,3.21,7,0.7294825262,0.1431340157,0.8007201343
0.237,3.21,7,0.7294812729,0.1434489937,0.8007132756
0.225,3.22,7,0.7297630258,0.1394674371,0.8008834321
0.226,3.22,7,0.7297262382,0.1397394535,0.8008058023
0.227,3.22,7,0.7296925039,0.1400151862,0.8007343269
0.228,3.22,7,0.7296618597,0.1402946729,0.8006691109
0.229,3.22,7,0.7296343425,0.1405779509,0.8006102595
0.23,3.22,7,0.7296099891,0.1408650576,0.8005578777
0.231,3.22,7,0.7295888364,0.1411560305,0.8005120704
0.232,3.22,7,0.7295709212,0.1414509071,0.8004729427
0.233,3.22,7,0.7295562803,0.1417497247,0.8004405997
0.234,3.22,7,0.7295449506,0.1420525208,0.8004151464
0.235,3.22,7,0.7295369688,0.1423593328,0.8003966879
0.236,3.22,7,0.7295323719,0.1426701981,0.8003853291
0.237,3.22,7,0.7295311967,0.1429851543,0.8003811751
0.224,3.23,7,0.7298555084,0.1387398964,0.8006159998
0.225,3.23,7,0.7298157329,0.1390082227,0.8005348364
0.226,3.23,7,0.7297789776,0.139280227,0.8004597356
0.227,3.23,7,0.7297452793,0.1395559469,0.8003908027
0.228,3.23,7,0.7297146749,0.1398354197,0.8003281425
0.229,3.23,7,0.7296872012,0.1401186828,0.8002718602
0.23,3.23,7,0.7296628951,0.1404057738,0.8002220608
0.231,3.23,7,0.7296417933,0.14069673,0.8001788493
0.232,3.23,7,0.7296239327,0.1409915888,0.8001423308
0.233,3.23,7,0.7296093502,0.1412903878,0.8001126102
0.234,3.23,7,0.7295980826,0.1415931643,0.8000897927
0.235,3.23,7,0.7295901667,0.1418999558,0.8000739833
0.236,3.23,7,0.7295856393,0.1422107997,0.800065287
0.237,3.23,7,0.7295845374,0.1425257334,0.8000638088
0.223,3.24,7,0.7299543171,0.1380204071,0.8003644275
0.224,3.24,7,0.7299115783,0.1382850821,0.8002797798
0.225,3.24,7,0.7298718266,0.1385533969,0.8002011032
0.226,3.24,7,0.7298350987,0.1388253887,0.8001285026
0.227,3.24,7,0.7298014317,0.1391010952,0.8000620831
0.228,3.24,7,0.7297708622,0.1393805536,0.8000019497
0.229,3.24,7,0.7297434271,0.1396638014,0.7999482075
0.23,3.24,7,0.7297191634,0.1399508761,0.7999009616
0.231,3.24,7,0.7296981077,0.1402418151,0.7998603169
0.232,3.24,7,0.7296802969,0.1405366558,0.7998263785
0.233,3.24,7,0.7296657679,0.1408354357,0.7997992514
0.234,3.24,7,0.7296545575,0.1411381922,0.7997790407
0.235,3.24,7,0.7296467026,0.1414449626,0.7997658515
0.236,3.24,7,0.72964224,0.1417557846,0.7997597887
0.237,3.24,7,0.7296412065,0.1420706954,0.7997609574
0.222,3.25,7,0.7300593524,0.1373088944,0.8001285177
0.223,3.25,7,0.7300136748,0.1375699571,0.8000404351
0.224,3.25,7,0.7299709512,0.1378346212,0.7999582319
0.225,3.25,7,0.7299312184,0.1381029239,0.7998820131
0.226,3.25,7,0.7298945132,0.1383749029,0.7998118836
0.227,3.25,7,0.7298608725,0.1386505954,0.7997479486
0.228,3.25,7,0.7298303331,0.138930039,0.799690313
0.229,3.25,7,0.7298029319,0.1392132711,0.799639082
0.23,3.25,7,0.7297787056,0.139500329,0.7995943606
0.231,3.25,7,0.7297576911,0.1397912503,0.7995562537
0.232,3.25,7,0.7297399253,0.1400860724,0.7995248665
0.233,3.25,7,0.7297254451,0.1403848327,0.7995003039
0.234,3.25,7,0.7297142871,0.1406875687,0.7994826711
0.235,3.25,7,0.7297064883,0.1409943177,0.799472073
0.236,3.25,7,0.7297020855,0.1413051172,0.7994686148
0.237,3.25,7,0.7297011156,0.1416200046,0.7994724013
0.222,3.26,7,0.730121923,0.1368627732,0.7998166048
0.223,3.26,7,0.730076252,0.1371238254,0.7997309244
0.224,3.26,7,0.7300335388,0.1373884779,0.7996511367
0.225,3.26,7,0.72999382,0.1376567682,0.7995773467
0.226,3.26,7,0.7299571326,0.1379287337,0.7995096594
0.227,3.26,7,0.7299235134,0.1382044119,0.7994481799
0.228,3.26,7,0.7298929993,0.1384838402,0.7993930132
0.229,3.26,7,0.729865627,0.138767056,0.7993442644
0.23,3.26,7,0.7298414334,0.1390540968,0.7993020384
0.231,3.26,7,0.7298204553,0.1393449999,0.7992664404
0.232,3.26,7,0.7298027296,0.1396398029,0.7992375754
0.233,3.26,7,0.7297882932,0.1399385432,0.7992155484
0.234,3.26,7,0.7297771828,0.1402412581,0.7992004645
0.235,3.26,7,0.7297694353,0.1405479852,0.7991924286
0.236,3.26,7,0.7297650875,0.1408587618,0.7991915459
0.237,3.26,7,0.7297641763,0.1411736254,0.7991979213
0.222,3.27,7,0.7301876295,0.1364209349,0.7995189832
0.223,3.27,7,0.7301419603,0.1366819761,0.799435676
0.224,3.27,7,0.7300992526,0.1369466166,0.7993582748
0.225,3.27,7,0.730059543,0.137214894,0.7992868847
0.226,3.27,7,0.7300228686,0.1374868456,0.7992216106
0.227,3.27,7,0.7299892661,0.137762509,0.7991625576
0.228,3.27,7,0.7299587723,0.1380419215,0.7991098308
0.229,3.27,7,0.7299314241,0.1383251206,0.7990635352
0.23,3.27,7,0.7299072583,0.1386121437,0.7990237758
0.231,3.27,7,0.7298863118,0.1389030282,0.7989906577
0.232,3.27,7,0.7298686214,0.1391978116,0.7989642859
0.233,3.27,7,0.729854224,0.1394965313,0.7989447655
0.234,3.27,7,0.7298431563,0.1397992248,0.7989322014
0.235,3.27,7,0.7298354552,0.1401059294,0.7989266988
0.236,3.27,7,0.7298311576,0.1404166827,0.7989283627
0.237,3.27,7,0.7298303002,0.140731522,0.7989372981
0.223,3.28,7,0.7302107113,0.1362443735,0.7991544706
0.224,3.28,7,0.7301680042,0.1365090016,0.7990794269
0.225,3.28,7,0.730128299,0.1367772656,0.7990104076
0.226,3.28,7,0.7300916327,0.1370492028,0.7989475178
0.227,3.28,7,0.730058042,0.1373248509,0.7988908624
0.228,3.28,7,0.7300275637,0.1376042472,0.7988405464
0.229,3.28,7,0.7300002348,0.137887429,0.7987966751
0.23,3.28,7,0.729976092,0.138174434,0.7987593533
0.231,3.28,7,0.7299551722,0.1384652994,0.7987286861
0.232,3.28,7,0.7299375122,0.1387600628,0.7987047786
0.233,3.28,7,0.7299231489,0.1390587615,0.7986877357
0.234,3.28,7,0.7299121191,0.139361433,0.7986776626
0.235,3.28,7,0.7299044596,0.1396681148,0.7986746643
0.236,3.28,7,0.7299002073,0.1399788442,0.7986788458
0.237,3.28,7,0.729899399,0.1402936587,0.7986903121
0.225,3.29,7,0.7301999996,0.1363438473,0.7987476962
0.226,3.29,7,0.7301633365,0.1366157697,0.7986871616
0.227,3.29,7,0.7301297528,0.136891402,0.7986328748
0.228,3.29,7,0.7300992852,0.1371707815,0.7985849408
0.229,3.29,7,0.7300719707,0.1374539457,0.7985434647
0.23,3.29,7,0.7300478461,0.1377409321,0.7985085515
0.231,3.29,7,0.7300269481,0.1380317779,0.7984803063
0.232,3.29,7,0.7300093138,0.1383265208,0.798458834
0.233,3.29,7,0.7299949797,0.138625198,0.7984442398
0.234,3.29,7,0.729983983,0.1389278472,0.7984366287
0.235,3.29,7,0.7299763602,0.1392345055,0.7984361056
0.236,3.29,7,0.7299721484,0.1395452107,0.7984427757
0.228,3.3,7,0.7301738484,0.1367414889,0.7983427945
0.229,3.3,7,0.7301465435,0.137024635,0.7983036846
0.23,3.3,7,0.7301224321,0.1373116022,0.7982711511
0.231,3.3,7,0.7301015512,0.137602428,0.7982452988
0.232,3.3,7,0.7300839375,0.1378971499,0.7982262329
0.233,3.3,7,0.730069628,0.1381958052,0.7982140583
0.225,4.5,7,0.7338596006,0.1041733993,0.8021761349
0.226,4.5,7,0.7337875614,0.1044400323,0.8021867401
0.227,4.5,7,0.7337190518,0.1047102604,0.8022052071
0.228,4.5,7,0.7336541089,0.1049841209,0.8022316408
0.229,4.5,7,0.7335927693,0.1052616514,0.8022661463
0.23,4.5,7,0.73353507,0.1055428892,0.8023088287
0.231,4.5,7,0.7334810478,0.1058278719,0.8023597929
0.232,4.5,7,0.7334307395,0.1061166367,0.8024191441
0.233,4.5,7,0.7333841819,0.1064092212,0.8024869873
0.234,4.5,7,0.7333414119,0.1067056628,0.8025634275
0.235,4.5,7,0.7333024664,0.1070059988,0.8026485698
0.236,4.5,7,0.7332673821,0.1073102669,0.8027425191
0.237,4.5,7,0.7332361959,0.1076185043,0.8028453806
0.238,4.5,7,0.7332089447,0.1079307485,0.8029572592
0.239,4.5,7,0.7331856652,0.108247037,0.80307826
0.24,4.5,7,0.7331663944,0.1085674072,0.8032084881
0.241,4.5,7,0.733151169,0.1088918965,0.8033480485
0.242,4.5,7,0.7331400259,0.1092205423,0.8034970462
0.243,4.5,7,0.7331330019,0.1095533821,0.8036555863
0.244,4.5,7,0.7331301338,0.1098904534,0.8038237738
0.227,3.33,8,0.728946913,0.1402467217,0.8064422308
0.228,3.33,8,0.7289162477,0.1405703765,0.8064201242
0.229,3.33,8,0.728888878,0.1408980828,0.8064043805
0.23,3.33,8,0.7288648409,0.1412298782,0.8063951048
0.231,3.33,8,0.7288441731,0.1415658001,0.8063924022
0.232,3.33,8,0.7288269115,0.1419058858,0.8063963776
0.233,3.33,8,0.7288130929,0.1422501729,0.8064071361
0.234,3.33,8,0.7288027542,0.1425986987,0.8064247828
0.235,3.33,8,0.7287959322,0.1429515007,0.8064494226
0.222,3.34,8,0.7292341774,0.1382761585,0.8064389788
0.223,3.34,8,0.7291873943,0.138580094,0.806388747
0.224,3.34,8,0.7291437265,0.1388878929,0.8063443663
0.225,3.34,8,0.7291032107,0.1391995928,0.8063059418
0.226,3.34,8,0.7290658838,0.139515231,0.8062735784
0.227,3.34,8,0.7290317826,0.1398348449,0.8062473813
0.228,3.34,8,0.7290009439,0.1401584721,0.8062274554
0.229,3.34,8,0.7289734047,0.1404861499,0.8062139057
0.23,3.34,8,0.7289492016,0.1408179158,0.8062068374
0.231,3.34,8,0.7289283717,0.1411538072,0.8062063555
0.232,3.34,8,0.7289109516,0.1414938616,0.806212565
0.233,3.34,8,0.7288969783,0.1418381163,0.8062255709
0.234,3.34,8,0.7288864886,0.1421866088,0.8062454783
0.235,3.34,8,0.7288795192,0.1425393766,0.8062723922
0.236,3.34,8,0.7288761072,0.142896457,0.8063064177
0.219,3.35,8,0.7294819919,0.1369794787,0.8064247958
0.22,3.35,8,0.7294258763,0.1372720279,0.806359686
0.221,3.35,8,0.7293727691,0.1375683272,0.8063001256
0.222,3.35,8,0.7293227072,0.1378684143,0.8062462195
0.223,3.35,8,0.7292757273,0.1381723264,0.8061980728
0.224,3.35,8,0.7292318664,0.1384801011,0.8061557905
0.225,3.35,8,0.7291911612,0.1387917757,0.8061194777
0.226,3.35,8,0.7291536487,0.1391073878,0.8060892394
0.227,3.35,8,0.7291193655,0.1394269746,0.8060651806
0.228,3.35,8,0.7290883487,0.1397505737,0.8060474064
0.229,3.35,8,0.729060635,0.1400782225,0.8060360219
0.23,3.35,8,0.7290362612,0.1404099584,0.806031132
0.231,3.35,8,0.7290152642,0.1407458189,0.8060328418
0.232,3.35,8,0.7289976809,0.1410858414,0.8060412564
0.233,3.35,8,0.728983548,0.1414300633,0.8060564807
0.234,3.35,8,0.7289729024,0.1417785221,0.8060786199
0.235,3.35,8,0.7289657809,0.1421312551,0.8061077789
0.236,3.35,8,0.7289622204,0.1424882999,0.8061440628
0.217,3.36,8,0.7296953441,0.136001815,0.8063809779
0.218,3.36,8,0.7296331019,0.136286957,0.806307074
0.219,3.36,8,0.7295737982,0.1365757733,0.8062385226
0.22,3.36,8,0.7295174698,0.1368683015,0.8061754289
0.221,3.36,8,0.7294641535,0.137164579,0.8061178979
0.222,3.36,8,0.7294138862,0.1374646432,0.8060660345
0.223,3.36,8,0.7293667047,0.1377685315,0.8060199439
0.224,3.36,8,0.7293226458,0.1380762814,0.805979731
0.225,3.36,8,0.7292817464,0.1383879304,0.8059455009
0.226,3.36,8,0.7292440434,0.1387035157,0.8059173587
0.227,3.36,8,0.7292095735,0.139023075,0.8058954094
0.228,3.36,8,0.7291783736,0.1393466456,0.805879758
0.229,3.36,8,0.7291504806,0.1396742649,0.8058705095
0.23,3.36,8,0.7291259312,0.1400059703,0.8058677691
0.231,3.36,8,0.7291047624,0.1403417994,0.8058716417
0.232,3.36,8,0.7290870109,0.1406817896,0.8058822324
0.233,3.36,8,0.7290727135,0.1410259782,0.8058996462
0.234,3.36,8,0.7290619072,0.1413744027,0.8059239882
0.235,3.36,8,0.7290546288,0.1417271006,0.8059553633
0.236,3.36,8,0.7290509151,0.1420841092,0.8059938767
0.214,3.37,8,0.7299948589,0.1347683877,0.8064501879
0.215,3.37,8,0.7299237861,0.1350427143,0.806362777
0.216,3.37,8,0.7298555449,0.1353206021,0.8062804168
0.217,3.37,8,0.7297901723,0.1356020884,0.8062032124
0.218,3.37,8,0.729727705,0.1358872109,0.806131269
0.219,3.37,8,0.7296681798,0.1361760067,0.8060646914
0.22,3.37,8,0.7296116338,0.1364685135,0.8060035848
0.221,3.37,8,0.7295581035,0.1367647686,0.8059480541
0.222,3.37,8,0.729507626,0.1370648095,0.8058982045
0.223,3.37,8,0.729460238,0.1373686735,0.805854141
0.224,3.37,8,0.7294159764,0.1376763982,0.8058159686
0.225,3.37,8,0.729374878,0.137988021,0.8057837923
0.226,3.37,8,0.7293369796,0.1383035792,0.8057577172
0.227,3.37,8,0.7293023181,0.1386231104,0.8057378483
0.228,3.37,8,0.7292709303,0.1389466519,0.8057242907
0.229,3.37,8,0.7292428531,0.1392742413,0.8057171494
0.23,3.37,8,0.7292181233,0.1396059158,0.8057165294
0.231,3.37,8,0.7291967778,0.1399417131,0.8057225358
0.232,3.37,8,0.7291788532,0.1402816704,0.8057352737
0.233,3.37,8,0.7291643866,0.1406258252,0.8057548479
0.234,3.37,8,0.7291534148,0.140974215,0.8057813637
0.235,3.37,8,0.7291459745,0.1413268773,0.8058149261
0.236,3.37,8,0.7291421027,0.1416838493,0.80585564
0.213,3.38,8,0.7301670084,0.1341018328,0.8063694674
0.214,3.38,8,0.7300928959,0.1343726195,0.8062789887
0.215,3.38,8,0.7300215819,0.134646929,0.8061934692
0.216,3.38,8,0.7299531034,0.1349247986,0.8061130137
0.217,3.38,8,0.7298874971,0.1352062659,0.8060377275
0.218,3.38,8,0.7298247998,0.1354913683,0.8059677154
0.219,3.38,8,0.7297650485,0.1357801433,0.8059030826
0.22,3.38,8,0.7297082799,0.1360726281,0.8058439341
0.221,3.38,8,0.7296545309,0.1363688604,0.805790375
0.222,3.38,8,0.7296038383,0.1366688774,0.8057425102
0.223,3.38,8,0.7295562389,0.1369727167,0.8057004447
0.224,3.38,8,0.7295117697,0.1372804157,0.8056642838
0.225,3.38,8,0.7294704674,0.1375920118,0.8056341323
0.226,3.38,8,0.7294323688,0.1379075425,0.8056100954
0.227,3.38,8,0.7293975109,0.1382270451,0.805592278
0.228,3.38,8,0.7293659304,0.1385505572,0.8055807852
0.229,3.38,8,0.7293376642,0.1388781161,0.805575722
0.23,3.38,8,0.7293127491,0.1392097592,0.8055771935
0.231,3.38,8,0.7292912219,0.1395455241,0.8055853048
0.232,3.38,8,0.7292731196,0.1398854481,0.8056001608
0.233,3.38,8,0.7292584789,0.1402295688,0.8056218666
0.234,3.38,8,0.7292473366,0.1405779234,0.8056505272
0.235,3.38,8,0.7292397297,0.1409305495,0.8056862478
0.211,3.39,8,0.7304247018,0.1331788269,0.8064003232
0.212,3.39,8,0.7303448455,0.1334426656,0.8063020639
0.213,3.39,8,0.7302677179,0.1337099511,0.806208567
0.214,3.39,8,0.7301933557,0.1339807211,0.8061199375
0.215,3.39,8,0.7301217958,0.1342550129,0.8060362804
0.216,3.39,8,0.730053075,0.134532864,0.8059577007
0.217,3.39,8,0.7299872301,0.1348143118,0.8058843036
0.218,3.39,8,0.7299242981,0.1350993937,0.805816194
0.219,3.39,8,0.7298643157,0.1353881472,0.8057534771
0.22,3.39,8,0.7298073197,0.1356806097,0.8056962577
0.221,3.39,8,0.7297533471,0.1359768186,0.805644641
0.222,3.39,8,0.7297024346,0.1362768114,0.805598732
0.223,3.39,8,0.729654619,0.1365806255,0.8055586358
0.224,3.39,8,0.7296099373,0.1368882983,0.8055244573
0.225,3.39,8,0.7295684263,0.1371998673,0.8054963016
0.226,3.39,8,0.7295301227,0.1375153698,0.8054742739
0.227,3.39,8,0.7294950635,0.1378348435,0.805458479
0.228,3.39,8,0.7294632854,0.1381583255,0.805449022
0.229,3.39,8,0.7294348253,0.1384858535,0.8054460081
0.23,3.39,8,0.7294097201,0.1388174648,0.8054495421
0.231,3.39,8,0.7293880065,0.1391531969,0.8054597292
0.232,3.39,8,0.7293697215,0.1394930872,0.8054766744
0.233,3.39,8,0.7293549018,0.1398371731,0.8055004828
0.234,3.39,8,0.7293435843,0.140185492,0.8055312593
0.235,3.39,8,0.7293358059,0.1405380815,0.805569109
0.21,3.4,8,0.7306110845,0.1325303965,0.8063489167
0.211,3.4,8,0.7305282708,0.1327908113,0.8062477802
0.212,3.4,8,0.7304481525,0.1330546346,0.8061513144
0.213,3.4,8,0.7303707666,0.133321904,0.8060596243
0.214,3.4,8,0.7302961499,0.1335926568,0.8059728149
0.215,3.4,8,0.7302243392,0.1338669305,0.8058909913
0.216,3.4,8,0.7301553713,0.1341447626,0.8058142584
0.217,3.4,8,0.7300892831,0.1344261903,0.8057427215
0.218,3.4,8,0.7300261114,0.1347112513,0.8056764854
0.219,3.4,8,0.729965893,0.1349999829,0.8056156552
0.22,3.4,8,0.7299086649,0.1352924225,0.805560336
0.221,3.4,8,0.7298544637,0.1355886076,0.8055106328
0.222,3.4,8,0.7298033265,0.1358885756,0.8054666507
0.223,3.4,8,0.7297552899,0.136192364,0.8054284946
0.224,3.4,8,0.7297103909,0.1365000102,0.8053962697
0.225,3.4,8,0.7296686663,0.1368115516,0.8053700809
0.226,3.4,8,0.7296301528,0.1371270256,0.8053500333
0.227,3.4,8,0.7295948875,0.1374464697,0.805336232
0.228,3.4,8,0.729562907,0.1377699214,0.8053287819
0.229,3.4,8,0.7295342482,0.138097418,0.8053277882
0.23,3.4,8,0.729508948,0.1384289969,0.8053333558
0.231,3.4,8,0.7294870432,0.1387646957,0.8053455898
0.232,3.4,8,0.7294685706,0.1391045518,0.8053645952
0.233,3.4,8,0.7294535671,0.1394486025,0.8053904771
0.234,3.4,8,0.7294420695,0.1397968853,0.8054233406
0.212,3.41,8,0.7305537152,0.1326704031,0.8060123321
0.213,3.41,8,0.7304760662,0.1329376558,0.8059224198
0.214,3.41,8,0.7304011901,0.1332083909,0.8058374015
0.215,3.41,8,0.7303291237,0.1334826461,0.8057573824
0.216,3.41,8,0.7302599039,0.1337604585,0.8056824674
0.217,3.41,8,0.7301935675,0.1340418658,0.8056127617
0.218,3.41,8,0.7301301513,0.1343269054,0.8055483701
0.219,3.41,8,0.7300696922,0.1346156146,0.8054893978
0.22,3.41,8,0.730012227,0.1349080309,0.8054359498
0.221,3.41,8,0.7299577925,0.1352041917,0.8053881311
0.222,3.41,8,0.7299064257,0.1355041345,0.8053460469
0.223,3.41,8,0.7298581632,0.1358078967,0.805309802
0.224,3.41,8,0.7298130421,0.1361155158,0.8052795016
0.225,3.41,8,0.729771099,0.1364270291,0.8052552507
0.226,3.41,8,0.7297323708,0.1367424741,0.8052371544
0.227,3.41,8,0.7296968945,0.1370618883,0.8052253176
0.228,3.41,8,0.7296647067,0.137385309,0.8052198454
0.229,3.41,8,0.7296358444,0.1377127737,0.8052208429
0.23,3.41,8,0.7296103444,0.1380443199,0.8052284151
0.231,3.41,8,0.7295882434,0.1383799849,0.805242667
0.232,3.41,8,0.7295695785,0.1387198062,0.8052637037
0.233,3.41,8,0.7295543863,0.1390638213,0.8052916302
0.234,3.41,8,0.7295427038,0.1394120675,0.8053265516
0.213,3.42,8,0.7305835283,0.1325571707,0.8057967341
0.214,3.42,8,0.7305083879,0.1328278877,0.8057134781
0.215,3.42,8,0.730436061,0.1331021238,0.8056352345
0.216,3.42,8,0.7303665844,0.1333799163,0.8055621084
0.217,3.42,8,0.730299995,0.1336613026,0.8054942048
0.218,3.42,8,0.7302363294,0.1339463203,0.8054316288
0.219,3.42,8,0.7301756247,0.1342350066,0.8053744854
0.22,3.42,8,0.7301179176,0.1345273991,0.8053228796
0.221,3.42,8,0.730063245,0.1348235352,0.8052769165
0.222,3.42,8,0.7300116437,0.1351234523,0.8052367011
0.223,3.42,8,0.7299631505,0.1354271879,0.8052023385
0.224,3.42,8,0.7299178024,0.1357347793,0.8051739337
0.225,3.42,8,0.729875636,0.1360462641,0.8051515917
0.226,3.42,8,0.7298366883,0.1363616796,0.8051354176
0.227,3.42,8,0.7298009961,0.1366810633,0.8051255165
0.228,3.42,8,0.7297685962,0.1370044527,0.8051219932
0.229,3.42,8,0.7297395255,0.1373318851,0.805124953
0.23,3.42,8,0.7297138208,0.1376633979,0.8051345008
0.231,3.42,8,0.7296915189,0.1379990287,0.8051507417
0.232,3.42,8,0.7296726568,0.1383388149,0.8051737806
0.233,3.42,8,0.7296572711,0.1386827938,0.8052037228
0.214,3.43,8,0.730617655,0.1324511116,0.8056008251
0.215,3.43,8,0.7305450628,0.1327253281,0.8055243281
0.216,3.43,8,0.7304753245,0.1330031001,0.8054529619
0.217,3.43,8,0.7304084771,0.133284465,0.8053868316
0.218,3.43,8,0.7303445574,0.1335694602,0.8053260421
0.219,3.43,8,0.7302836023,0.1338581233,0.8052706986
0.22,3.43,8,0.7302256484,0.1341504915,0.8052209061
0.221,3.43,8,0.7301707328,0.1344466024,0.8051767696
0.222,3.43,8,0.7301188922,0.1347464933,0.8051383942
0.223,3.43,8,0.7300701635,0.1350502018,0.8051058848
