beta,eta,N,R,P,U
0.233,3.17,4,0.732403226,0.1234044979,0.778547785
0.234,3.17,4,0.7323900412,0.1235452259,0.7784835653
0.235,3.17,4,0.7323798025,0.1236891624,0.7784267185
0.236,3.17,4,0.7323725468,0.1238363449,0.7783773496
0.237,3.17,4,0.7323683109,0.1239868109,0.7783355637
0.238,3.17,4,0.7323671317,0.1241405977,0.7783014657
0.239,3.17,4,0.732369046,0.1242977428,0.7782751608
0.24,3.17,4,0.7323740906,0.1244582836,0.778256754
0.241,3.17,4,0.7323823024,0.1246222575,0.7782463503
0.242,3.17,4,0.7323937182,0.1247897021,0.7782440548
0.224,3.18,4,0.7327749404,0.1218004334,0.7790106215
0.225,3.18,4,0.7327374301,0.1219139857,0.7788876023
0.226,3.18,4,0.7327025382,0.1220304088,0.7787710239
0.227,3.18,4,0.7326703015,0.12214974,0.7786609915
0.228,3.18,4,0.7326407568,0.1222720167,0.77855761
0.229,3.18,4,0.7326139409,0.1223972765,0.7784609845
0.23,3.18,4,0.7325898907,0.1225255567,0.77837122
0.231,3.18,4,0.732568643,0.1226568948,0.7782884216
0.232,3.18,4,0.7325502347,0.1227913282,0.7782126943
0.233,3.18,4,0.7325347026,0.1229288943,0.7781441432
0.234,3.18,4,0.7325220835,0.1230696306,0.7780828732
0.235,3.18,4,0.7325124143,0.1232135745,0.7780289894
0.236,3.18,4,0.7325057318,0.1233607634,0.777982597
0.237,3.18,4,0.7325020728,0.1235112348,0.7779438008
0.238,3.18,4,0.7325014743,0.1236650262,0.7779127059
0.239,3.18,4,0.7325039729,0.1238221748,0.7778894175
0.24,3.18,4,0.7325096056,0.1239827182,0.7778740404
0.241,3.18,4,0.7325184092,0.1241466939,0.7778666798
0.224,3.19,4,0.7329043995,0.1213292457,0.7785962483
0.225,3.19,4,0.7328674166,0.1214428144,0.7784760298
0.226,3.19,4,0.7328330559,0.1215592528,0.7783622655
0.227,3.19,4,0.732801354,0.1216785985,0.7782550604
0.228,3.19,4,0.7327723478,0.1218008888,0.7781545197
0.229,3.19,4,0.7327460742,0.1219261611,0.7780607482
0.23,3.19,4,0.7327225701,0.122054453,0.7779738512
0.231,3.19,4,0.7327018721,0.1221858017,0.7778939335
0.232,3.19,4,0.7326840173,0.1223202449,0.7778211003
0.233,3.19,4,0.7326690424,0.1224578198,0.7777554566
0.234,3.19,4,0.7326569842,0.1225985639,0.7776971073
0.235,3.19,4,0.7326478796,0.1227425147,0.7776461577
0.236,3.19,4,0.7326417655,0.1228897096,0.7776027126
0.237,3.19,4,0.7326386786,0.123040186,0.7775668772
