sample,beta,eta,N,R,P,U,R_pred,R_resid,P_pred,P_resid,U_pred,U_resid,R_cv_pred,R_cv_resid,P_cv_pred,P_cv_resid,U_cv_pred,U_cv_resid
48,0.2,4.5,6,0.736613,0.093468,0.792252,0.736613280576,-2.80576067047e-07,0.0934862210315,-1.82210315399e-05,0.792375904815,-0.0001239048154,0.736613370348,-3.70348306467e-07,0.0934548278761,1.31721239158e-05,0.792400891732,-0.000148891732094
49,0.3,3,6,0.737304,0.173508,0.814661,0.737304012366,-1.2366419555e-08,0.173561766635,-5.37666345083e-05,0.814672570131,-1.15701307983e-05,0.737303994284,5.71577440933e-09,0.173594344846,-8.63448458658e-05,0.814686791385,-2.5791384878e-05
50,0.3,3.5,6,0.741862,0.150836,0.809261,0.741862145211,-1.45210574898e-07,0.150834571089,1.42891094629e-06,0.809264105248,-3.10524768088e-06,0.741862166975,-1.66975492655e-07,0.150835507694,4.92306087063e-07,0.809286453744,-2.54537441675e-05
51,0.3,4,6,0.747239,0.136587,0.820046,0.747239255198,-2.55197587951e-07,0.136552244829,3.47551706865e-05,0.820128073936,-8.20739359927e-05,0.747239313245,-3.13245412609e-07,0.136483171329,0.000103828671104,0.820105861625,-5.98616245695e-05
52,0.3,4.5,6,0.742386,0.126511,0.819944,0.742385942327,5.76725415202e-08,0.126253037855,0.000257962144712,0.819842626196,0.000101373804266,0.742385909349,9.06508550447e-08,0.126174495801,0.000336504198896,0.819823629375,0.000120370624791
53,0.1,3,4,0.744741,0.126402,0.824981,0.744740989591,1.04090899233e-08,0.127253481403,-0.000851481402598,0.825269537208,-0.000288537207794,0.744740931555,6.84453376198e-08,0.127718235578,-0.00131623557769,0.825438550101,-0.000457550101461
54,0.1,3.5,4,0.749958,0.104207,0.797021,0.74995836363,-3.6362987077e-07,0.104488141182,-0.000281141181818,0.797058367143,-3.73671428587e-05,0.74995839113,-3.91130384636e-07,0.104594823164,-0.000387823164132,0.797159002807,-0.000138002806876
55,0.1,4,4,0.756873,0.09028,0.798282,0.756873515169,-5.15168832149e-07,0.090347473461,-6.74734610391e-05,0.798318632078,-3.66320779239e-05,0.756873597126,-5.97126408874e-07,0.0903381788181,-5.8178818051e-05,0.79832222578,-4.02257795084e-05
56,0.1,4.5,4,0.754437,0.080369,0.80169,0.754437044208,-4.4207793426e-08,0.0803697282403,-7.28240259873e-07,0.801628482013,6.15179870109e-05,0.754436998245,1.7552997944e-09,0.0802880641121,8.09358879252e-05,0.80158938389,0.000100616110191
57,0.15,3,4,0.739057,0.127794,0.812275,0.739057309509,-3.09509276875e-07,0.128098566005,-0.000304566004638,0.812307344657,-3.23446567727e-05,0.739057331636,-3.31636160755e-07,0.128228945222,-0.000434945221537,0.812325590109,-5.05901092107e-05
