beta,eta,N,R,P,U,acceptability
0.226,3.21,4,0.733102428949,0.120630395433,0.77758934515,0
0.227,3.21,4,0.733071782242,0.120749768632,0.777487707969,0
0.228,3.21,4,0.733043838713,0.120872084558,0.777392761751,0
0.229,3.21,4,0.733018635198,0.120997380645,0.777304611536,0
0.23,3.21,4,0.732996208535,0.121125694327,0.777223362364,0
0.231,3.21,4,0.732976595562,0.121257063035,0.777149119272,0
0.232,3.21,4,0.732959833114,0.121391524204,0.777081987301,0
0.233,3.21,4,0.73294595803,0.121529115267,0.77702207149,0
0.234,3.21,4,0.732935007146,0.121669873657,0.776969476877,0
0.235,3.21,4,0.7329270173,0.121813836807,0.776924308503,0.000107292599112
0.236,3.21,4,0.732922025329,0.121961042151,0.776886671405,0.00075210017662
0.237,3.21,4,0.732920068071,0.122111527121,0.776856670624,0.0009265980425
0.238,3.21,4,0.732921182361,0.122265329151,0.776834411199,0.00111320003854
0.239,3.21,4,0.732925405039,0.122422485673,0.776819998169,0.000369238529999
0.24,3.21,4,0.73293277294,0.122583034122,0.776813536573,0
0.223,3.22,4,0.733347359824,0.11983174015,0.77756061008,0
0.224,3.22,4,0.733309333761,0.119942525666,0.777442230701,0
0.225,3.22,4,0.733273904086,0.120056140662,0.777330240507,0
0.226,3.22,4,0.733241107635,0.120172622572,0.777224744537,0
0.227,3.22,4,0.733210981248,0.120292008827,0.777125847829,0
0.228,3.22,4,0.733183561759,0.120414336861,0.777033655423,0
0.229,3.22,4,0.733158886008,0.120539644108,0.776948272359,0
0.23,3.22,4,0.73313699083,0.120667968001,0.776869803675,0
0.231,3.22,4,0.733117913063,0.120799345972,0.77679835441,0
0.232,3.22,4,0.733101689545,0.120933815456,0.776734029605,0
0.233,3.22,4,0.733088357112,0.121071413885,0.776676934297,0
0.234,3.22,4,0.733077952602,0.121212178692,0.776627173527,8.39524125771e-05
0.235,3.22,4,0.733070512851,0.121356147312,0.776584852333,0.000684582167236
0.236,3.22,4,0.733066074698,0.121503357176,0.776550075754,0.000834009538817
0.237,3.22,4,0.733064674979,0.121653845718,0.776522948831,0.000998492083914
0.238,3.22,4,0.733066350532,0.121807650371,0.776503576601,0.00120698843315
0.239,3.22,4,0.733071138193,0.121964808569,0.776492064105,7.91607564088e-05
0.24,3.22,4,0.7330790748,0.122125357745,0.776488516381,0
0.223,3.23,4,0.733487057989,0.119378313484,0.777202235527,0
0.224,3.23,4,0.733449536232,0.119489114429,0.777086527634,0
0.225,3.23,4,0.733414614586,0.119602743905,0.776977222264,0
0.226,3.23,4,0.733382329887,0.119719239346,0.776874424457,0
0.227,3.23,4,0.733352718972,0.119838638184,0.77677823925,0
0.228,3.23,4,0.733325818678,0.119960977853,0.776688771684,0
0.229,3.23,4,0.733301665844,0.120086295787,0.776606126797,0
0.23,3.23,4,0.733280297305,0.120214629417,0.776530409629,0
0.231,3.23,4,0.733261749899,0.120346016178,0.776461725219,0
0.232,3.23,4,0.733246060464,0.120480493503,0.776400178606,0
0.233,3.23,4,0.733233265836,0.120618098824,0.77634587483,0
0.234,3.23,4,0.733223402853,0.120758869575,0.776298918929,0.000319410852904
0.235,3.23,4,0.733216508352,0.12090284319,0.776259415943,0.000750953314212
0.236,3.23,4,0.733212619171,0.121050057101,0.776227470911,0.000896127831642
0.237,3.23,4,0.733211772145,0.121200548742,0.776203188872,0.00107918573845
0.238,3.23,4,0.733214004113,0.121354355546,0.776186674866,0.00109228368962
0.239,3.23,4,0.733219351912,0.121511514945,0.776178033931,0
0.24,3.23,4,0.733227852379,0.121672064374,0.776177371107,0
0.222,3.24,4,0.733668815152,0.118821216431,0.776977385251,0
0.223,3.24,4,0.733629225861,0.118929242181,0.77685800905,0
0.224,3.24,4,0.733592203566,0.119040058081,0.77674494367,0
0.225,3.24,4,0.733557785102,0.119153701564,0.776638294152,0
0.226,3.24,4,0.733526007307,0.119270210062,0.776538165535,0
0.227,3.24,4,0.733496907019,0.11938962101,0.776444662857,0
0.228,3.24,4,0.733470521074,0.119511971841,0.776357891157,0
0.229,3.24,4,0.733446886311,0.119637299986,0.776277955476,0
0.23,3.24,4,0.733426039565,0.119765642881,0.776204960851,0
0.231,3.24,4,0.733408017674,0.119897037958,0.776139012324,0
0.232,3.24,4,0.733392857476,0.12003152265,0.776080214931,0
0.233,3.24,4,0.733380595807,0.12016913439,0.776028673714,0
0.234,3.24,4,0.733371269506,0.120309910612,0.77598449371,0.000442277904437
0.235,3.24,4,0.733364915408,0.120453888749,0.77594777996,0.000804624369688
0.236,3.24,4,0.733361570351,0.120601106233,0.775918637501,0.000965580265972
0.237,3.24,4,0.733361271173,0.120751600499,0.775897171375,0.00117012030743
0.238,3.24,4,0.733364054711,0.12090540898,0.775883486619,0.000819137565542
0.239,3.24,4,0.733369957801,0.121062569108,0.775877688273,0
0.222,3.25,4,0.733812873445,0.118376449366,0.776644487272,0
0.223,3.25,4,0.733773775047,0.118484490546,0.776527711273,0
0.224,3.25,4,0.733737247366,0.118595320928,0.776417259435,0
0.225,3.25,4,0.733703327238,0.118708977943,0.776313236796,0
0.226,3.25,4,0.733672051502,0.118825499027,0.776215748396,0
0.227,3.25,4,0.733643456995,0.118944921611,0.776124899274,0
0.228,3.25,4,0.733617580553,0.119067283129,0.776040794469,0
0.229,3.25,4,0.733594459014,0.119192621014,0.77596353902,0
0.23,3.25,4,0.733574129215,0.119320972699,0.775893237967,0
0.231,3.25,4,0.733556627993,0.119452375618,0.775829996349,0
0.232,3.25,4,0.733541992186,0.119586867204,0.775773919205,0
0.233,3.25,4,0.73353025863,0.11972448489,0.775725111573,0
0.234,3.25,4,0.733521464163,0.119865266109,0.775683678494,0.000586802398056
0.235,3.25,4,0.733515645623,0.120009248294,0.775649725007,0.000864408281387
0.236,3.25,4,0.733512839845,0.120156468878,0.77562335615,0.00104352554065
0.237,3.25,4,0.733513083668,0.120306965296,0.775604676963,0.00127303522831
0.238,3.25,4,0.733516413929,0.120460774979,0.775593792485,0.000497438144164
0.239,3.25,4,0.733522867465,0.120617935362,0.775590807756,0
0.221,3.26,4,0.734000379456,0.117830661433,0.776445764819,0
0.222,3.26,4,0.733959229502,0.11793596675,0.776325327591,0
0.223,3.26,4,0.73392061715,0.118044022886,0.776211122823,0
0.224,3.26,4,0.733884579237,0.118154867276,0.776103255553,0
0.225,3.26,4,0.7338511526,0.118268537351,0.776001830821,0
0.226,3.26,4,0.733820374076,0.118385070545,0.775906953666,0
0.227,3.26,4,0.733792280503,0.118504504292,0.775818729128,0
0.228,3.26,4,0.733766908718,0.118626876024,0.775737262245,0
0.229,3.26,4,0.733744295557,0.118752223175,0.775662658056,0
0.23,3.26,4,0.733724477859,0.118880583177,0.775595021602,0
0.231,3.26,4,0.73370749246,0.119011993465,0.775534457921,0
0.232,3.26,4,0.733693376197,0.119146491471,0.775481072051,0
0.233,3.26,4,0.733682165909,0.119284114629,0.775434969034,0
0.234,3.26,4,0.733673898431,0.119424900371,0.775396253907,0.000747306221948
0.235,3.26,4,0.733668610601,0.119568886131,0.77536503171,0.000931236737782
0.236,3.26,4,0.733666339257,0.119716109342,0.775341407482,0.00113135337908
0.237,3.26,4,0.733667121235,0.119866607438,0.775325486263,0.00139004329035
0.238,3.26,4,0.733670993373,0.120020417851,0.775317373091,0.00014129456201
0.239,3.26,4,0.733677992508,0.120177578014,0.775317173005,0
0.221,3.27,4,0.734148467404,0.117394412139,0.776137595144,0
0.222,3.27,4,0.734107794928,0.117499732888,0.776019686835,0
0.223,3.27,4,0.734069663776,0.117607803507,0.775908024324,0
0.224,3.27,4,0.734034110785,0.117718661431,0.77580271265,0
0.225,3.27,4,0.734001172792,0.117832344092,0.775703856852,0
0.226,3.27,4,0.733970886634,0.117948888924,0.77561156197,0
0.227,3.27,4,0.73394328915,0.118068333359,0.775525933043,0
0.228,3.27,4,0.733918417175,0.118190714832,0.775447075109,0
0.229,3.27,4,0.733896307547,0.118316070775,0.775375093209,0
0.23,3.27,4,0.733876997103,0.118444438621,0.77531009238,0
0.231,3.27,4,0.73386052268,0.118575855804,0.775252177663,0
0.232,3.27,4,0.733846921117,0.118710359757,0.775201454097,0
0.233,3.27,4,0.733836229249,0.118847987913,0.775158026721,9.2612192456e-05
0.234,3.27,4,0.733828483914,0.118988777705,0.775122000574,0.000831447132573
0.235,3.27,4,0.733823721949,0.119132766566,0.775093480695,0.00100622053511
0.236,3.27,4,0.733821980191,0.119279991931,0.775072572123,0.00123074064713
0.237,3.27,4,0.733823295479,0.119430491231,0.775059379898,0.00130742785412
0.238,3.27,4,0.733827704648,0.1195843019,0.775054009059,0
0.221,3.28,4,0.73429868117,0.11696237638,0.77584275399,0
0.222,3.28,4,0.734258481326,0.117067712086,0.775727345628,0
0.223,3.28,4,0.734220826528,0.117175796714,0.775618196402,0
0.224,3.28,4,0.734185753613,0.117286667699,0.775515411351,0
0.225,3.28,4,0.734153299419,0.117400362472,0.775419095515,0
0.226,3.28,4,0.734123500781,0.117516918468,0.775329353933,0
0.227,3.28,4,0.734096394539,0.117636373119,0.775246291644,0
0.228,3.28,4,0.734072017528,0.117758763859,0.775170013688,0
0.229,3.28,4,0.734050406586,0.11788412812,0.775100625102,0
0.23,3.28,4,0.734031598551,0.118012503337,0.775038230928,0
0.231,3.28,4,0.734015630259,0.118143926942,0.774982936203,0
0.232,3.28,4,0.734002538548,0.118278436368,0.774934845967,0
0.233,3.28,4,0.733992360254,0.118416069048,0.774894065259,0.000249104790819
0.234,3.28,4,0.733985132216,0.118556862417,0.774860699119,0.000895472751732
0.235,3.28,4,0.73398089127,0.118700853906,0.774834852586,0.001090691481
0.236,3.28,4,0.733979674253,0.11884808095,0.774816630698,0.00134372369849
0.237,3.28,4,0.733981518004,0.118998580981,0.774806138496,0.0009845016951
0.238,3.28,4,0.733986459358,0.119152391432,0.774803481017,0
0.22,3.29,4,0.73449317635,0.11643187881,0.775680126806,0
0.221,3.29,4,0.734450932361,0.11653451846,0.775561021982,0
0.222,3.29,4,0.734411200303,0.11663986865,0.775448084594,0
0.223,3.29,4,0.734374017013,0.116747966814,0.775341419681,0
0.224,3.29,4,0.734339419328,0.116858850386,0.775241132281,0
0.225,3.29,4,0.734307444085,0.116972556799,0.775147327435,0
